大里程,小里程,观测点名称,设备ID,设备类型
K8,693,羽四嶺隧道,video0001,摄像头
K9,460,羽肆岭隧道南头,video0001,摄像头
K58,502,火炭岭隧道北头,video001,摄像头
K59,777,狮子尾1号隧道北头,video001,摄像头
K60,120,狮子尾1号隧道南头,video001,摄像头
K60,120,狮子尾1号隧道南头,video002,摄像头
K60,680,三甲隧道北头,video001,摄像头
K139,340,茅岭江桥下防洪重点地段,video001,摄像头
K66,500,防洪重点地段1,video001,摄像头
k66,650,防洪重点地段2,video001,摄像头
K130,430,防洪重点地段3,video001,摄像头
k90,650,观测点001,video002,摄像头
K7,799,那罗观测点,video001,摄像头
K59,777,狮子尾1号隧道北头,video002,摄像头
K70,0,930道口,video0001,摄像头
K14,253,253道口,video0001,摄像头
K83,166,83道口,video0001,摄像头
K130,0,430防洪,video001,摄像头
K70,930,K70道口,video0001,摄像头
K99,528,528道口,video0001,摄像头
